Timestamp,Threat Type,Severity,Description
12/2/2025 20:25,SQL Injection Attack,High,Simulated event: SQL Injection Attack
12/2/2025 20:25,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
12/2/2025 20:25,SQL Injection Attack,High,Simulated event: SQL Injection Attack
12/2/2025 20:25,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
12/2/2025 20:25,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
12/2/2025 20:25,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 20:25,SQL Injection Attack,High,Simulated event: SQL Injection Attack
12/2/2025 20:25,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 20:25,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
12/2/2025 20:25,Port Scan Detected,Low,Simulated event: Port Scan Detected
12/2/2025 20:25,Port Scan Detected,Low,Simulated event: Port Scan Detected
12/2/2025 20:25,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
12/2/2025 20:25,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
12/2/2025 20:25,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 20:25,Port Scan Detected,Low,Simulated event: Port Scan Detected
12/2/2025 20:25,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
12/2/2025 20:25,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
12/2/2025 18:47,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
12/2/2025 18:47,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
12/2/2025 18:47,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
12/2/2025 18:47,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
12/2/2025 18:47,Port Scan Detected,Low,Simulated event: Port Scan Detected
12/2/2025 18:47,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
12/2/2025 18:47,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
12/2/2025 18:47,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
12/2/2025 18:47,Port Scan Detected,Low,Simulated event: Port Scan Detected
12/2/2025 18:47,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,Port Scan Detected,Low,Simulated event: Port Scan Detected
12/2/2025 18:47,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
12/2/2025 18:47,Port Scan Detected,Low,Simulated event: Port Scan Detected
12/2/2025 18:47,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,SQL Injection Attack,High,Simulated event: SQL Injection Attack
12/2/2025 18:47,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
12/2/2025 18:47,SQL Injection Attack,High,Simulated event: SQL Injection Attack
12/2/2025 18:47,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
12/2/2025 18:47,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,SQL Injection Attack,High,Simulated event: SQL Injection Attack
12/2/2025 18:47,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
12/2/2025 18:47,Malware Signature Found,High,Simulated event: Malware Signature Found
12/2/2025 18:47,Port Scan Detected,Low,Simulated event: Port Scan Detected
12/2/2025 18:47,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
12/2/2025 18:47,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
