Timestamp,Threat Type,Severity,Description
2025-12-02 20:25:58,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:57,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 20:25:57,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:56,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:56,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 20:25:55,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 20:25:55,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 20:25:54,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 20:25:54,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 20:25:53,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 20:25:53,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 20:25:52,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 20:25:52,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 20:25:51,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 20:25:51,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 20:25:50,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 20:25:49,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:49,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 20:25:48,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:48,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 20:25:47,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 20:25:47,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 20:25:46,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 20:25:46,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 20:25:45,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 20:25:45,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 20:25:44,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 20:25:44,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:47,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 18:47:47,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 18:47:46,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 18:47:46,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:45,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 18:47:45,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 18:47:44,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 18:47:43,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 18:47:43,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 18:47:42,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:42,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 18:47:41,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 18:47:41,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:40,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 18:47:40,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 18:47:39,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 18:47:37,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:37,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 18:47:36,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 18:47:36,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 18:47:35,Suspicious File Upload,Medium,Simulated event: Suspicious File Upload
2025-12-02 18:47:35,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:34,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:34,SQL Injection Attack,High,Simulated event: SQL Injection Attack
2025-12-02 18:47:33,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:33,Failed Login Attempt,Medium,Simulated event: Failed Login Attempt
2025-12-02 18:47:32,Malware Signature Found,High,Simulated event: Malware Signature Found
2025-12-02 18:47:32,Port Scan Detected,Low,Simulated event: Port Scan Detected
2025-12-02 18:47:31,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
2025-12-02 18:47:31,Unusual Network Traffic,Low,Simulated event: Unusual Network Traffic
